s_m; a0; a1; a2; a3; b0; b1; b2; b3
0.3048044; 15.7366939; -0.0063459; 0.0003516; -0.0000239; -9.4322063; -0.3047384; -0.0000072; 0.0000007
0.3044862; 15.7306757; -0.0057085; 0.0002793; -0.0000267; -9.7369513; -0.3044327; -0.0000052; 0.0000006
0.3041005; 15.7252197; -0.0052234; 0.0001986; -0.0000260; -10.0413886; -0.3040556; -0.0000034; 0.0000005
0.3036466; 15.7201689; -0.0048969; 0.0001202; -0.0000263; -10.3454471; -0.3036071; -0.0000019; 0.0000004
0.3031242; 15.7153660; -0.0047271; 0.0000412; -0.0000264; -10.6490557; -0.3030873; -0.0000006; 0.0000004
0.3025331; 15.7106538; -0.0047145; -0.0000377; -0.0000265; -10.9521432; -0.3024964; 0.0000006; 0.0000004
0.3018735; 15.7058750; -0.0048589; -0.0001168; -0.0000268; -11.2546386; -0.3018344; 0.0000019; 0.0000005
0.3011457; 15.7008725; -0.0051603; -0.0001961; -0.0000269; -11.5564706; -0.3011015; 0.0000033; 0.0000006
0.3003504; 15.6954891; -0.0056185; -0.0002754; -0.0000276; -11.8575682; -0.3002979; 0.0000051; 0.0000008
0.2994885; 15.6895676; -0.0062342; -0.0003561; -0.0000266; -12.1578602; -0.2994236; 0.0000073; 0.0000009
0.2985610; 15.6829507; -0.0070043; -0.0004331; -0.0000320; -12.4572755; -0.2984788; 0.0000101; 0.0000013
0.2975697; 15.6754813; -0.0079400; -0.0005255; -0.0000135; -12.7557429; -0.2974638; 0.0000139; 0.0000012
0.2968349; 15.6670024; -0.0090091; -0.0005631; 0.0001949; -13.0531916; -0.2966981; 0.0000174; -0.0000060
0.2973087; 15.6576250; -0.0095660; 0.0000215; 0.0001816; -13.3498783; -0.2971549; -0.0000006; -0.0000057
0.2991695; 15.6482622; -0.0090342; 0.0005735; 0.0001745; -13.6470395; -0.2990329; -0.0000179; -0.0000036
0.3024298; 15.6399760; -0.0074440; 0.0011210; 0.0001755; -13.9460939; -0.3023381; -0.0000293; 0.0000011
0.3071128; 15.6338285; -0.0047480; 0.0016988; 0.0001025; -14.2484601; -0.3070750; -0.0000267; 0.0000049
0.3132523; 15.6308817; -0.0010638; 0.0020872; 0.0002927; -14.5555570; -0.3132517; -0.0000125; 0.0000181
0.3206324; 15.6321979; 0.0040829; 0.0031069; -0.0008058; -14.8688031; -0.3206033; 0.0000439; -0.0000075
0.3239952; 15.6385819; 0.0079619; 0.0007040; -0.0017555; -15.1893700; -0.3238995; 0.0000220; -0.0000417
0.3184835; 15.6454924; 0.0040333; -0.0044079; -0.0017783; -15.5132893; -0.3184452; -0.0000998; 0.0000951
0.3047798; 15.6433395; -0.0096801; -0.0089188; -0.0024047; -15.8317392; -0.3046001; 0.0001698; 0.0004615
0.2850462; 15.6223360; -0.0324679; -0.0140984; -0.0030751; -16.1357080; -0.2831360; 0.0013582; 0.0013019
0.2636011; 15.5726946; -0.0645680; -0.0199068; -0.0035918; -16.4161840; -0.2554581; 0.0044926; 0.0029940
0.2481708; 15.4846280; -0.1082568; -0.0271154; -0.0009067; -16.6641554; -0.2232602; 0.0119082; 0.0048967
0.2482830; 15.3483491; -0.1652606; -0.0298546; 0.0047556; -16.8706107; -0.1848128; 0.0266154; 0.0000896
0.2615030; 15.1579895; -0.2221932; -0.0173344; 0.0032330; -17.0287185; -0.1384740; 0.0298961; -0.0021486
0.2792499; 14.9216950; -0.2641509; -0.0087209; 0.0019202; -17.1394451; -0.0909788; 0.0267846; -0.0018598
0.2956948; 14.6507434; -0.2922387; -0.0033229; 0.0011030; -17.2054991; -0.0455461; 0.0238027; -0.0027470
0.3090408; 14.3562848; -0.3090612; -0.0000151; 0.0002114; -17.2299895; -0.0064637; 0.0170141; -0.0030274
0.3168082; 14.0474199; -0.3162847; 0.0006509; -0.0001917; -17.2224665; 0.0189513; 0.0083396; -0.0025048
0.3165994; 13.7315944; -0.3153598; 0.0000757; -0.0001409; -17.1976804; 0.0280983; 0.0008240; -0.0016984
0.3112535; 13.4161694; -0.3102967; -0.0003353; 0.0000633; -17.1704565; 0.0242344; -0.0041282; 0.0004319
0.3065283; 13.1056008; -0.3060621; -0.0001409; 0.0000168; -17.1499183; 0.0170117; -0.0027472; 0.0001389
0.3029151; 12.7994146; -0.3026845; -0.0000883; 0.0000169; -17.1355149; 0.0117934; -0.0022759; 0.0002406
0.3003510; 12.4966587; -0.3002484; -0.0000369; 0.0000076; -17.1257569; 0.0078959; -0.0015280; 0.0002341
0.2987925; 12.1963810; -0.2987418; -0.0000140; 0.0000042; -17.1191548; 0.0055136; -0.0008170; 0.0002389
0.2982156; 11.8976294; -0.2981805; -0.0000015; 0.0000044; -17.1142194; 0.0045872; -0.0001001; 0.0002710
0.2985405; 11.5994518; -0.2984948; 0.0000118; 0.0000021; -17.1094613; 0.0052057; 0.0007145; 0.0000264
0.2991412; 11.3009708; -0.2990656; 0.0000181; 0.0000002; -17.1035148; 0.0067273; 0.0007968; -0.0000405
0.2997062; 11.0019235; -0.2995937; 0.0000187; 0.0000002; -17.0960313; 0.0082147; 0.0006778; -0.0000231
0.3002314; 10.7023488; -0.3000805; 0.0000195; -0.0000002; -17.0871619; 0.0095175; 0.0006106; -0.0000275
0.3007146; 10.4022876; -0.3005252; 0.0000189; -0.0000004; -17.0770613; 0.0106735; 0.0005299; -0.0000260
0.3011545; 10.1017809; -0.3009282; 0.0000177; -0.0000007; -17.0658839; 0.0116723; 0.0004533; -0.0000261
0.3015495; 9.8008696; -0.3012896; 0.0000157; -0.0000009; -17.0537844; 0.0125170; 0.0003759; -0.0000258
0.3018985; 9.4995948; -0.3016095; 0.0000131; -0.0000010; -17.0409173; 0.0132067; 0.0002992; -0.0000257
0.3022006; 9.1979975; -0.3018880; 0.0000102; -0.0000011; -17.0274372; 0.0137416; 0.0002225; -0.0000256
0.3024551; 8.8961186; -0.3021252; 0.0000069; -0.0000012; -17.0134986; 0.0141218; 0.0001460; -0.0000254
0.3026615; 8.5939990; -0.3023213; 0.0000033; -0.0000012; -16.9992562; 0.0143474; 0.0000699; -0.0000255
0.3028198; 8.2916799; -0.3024763; -0.0000003; -0.0000012; -16.9848644; 0.0144181; -0.0000067; -0.0000249
0.3029298; 7.9892020; -0.3025904; -0.0000039; -0.0000012; -16.9704780; 0.0143352; -0.0000814; -0.0000272
0.3029917; 7.6866065; -0.3026638; -0.0000076; -0.0000007; -16.9562513; 0.0140937; -0.0001631; -0.0000168
0.3030032; 7.3839344; -0.3026925; -0.0000097; 0.0000000; -16.9423375; 0.0137175; -0.0002136; -0.0000022
0.3029608; 7.0812323; -0.3026695; -0.0000097; -0.0000001; -16.9288358; 0.0132818; -0.0002202; -0.0000051
0.3028645; 6.7785530; -0.3025930; -0.0000100; -0.0000001; -16.9157792; 0.0128222; -0.0002353; -0.0000044
0.3027145; 6.4759499; -0.3024632; -0.0000101; -0.0000000; -16.9031967; 0.0123323; -0.0002482; -0.0000047
0.3025108; 6.1734766; -0.3022800; -0.0000102; -0.0000000; -16.8911172; 0.0118140; -0.0002618; -0.0000047
0.3022536; 5.8711863; -0.3020436; -0.0000103; 0.0000000; -16.8795697; 0.0112667; -0.0002754; -0.0000048
0.3019431; 5.5691324; -0.3017538; -0.0000103; 0.0000000; -16.8685832; 0.0106906; -0.0002891; -0.0000048
0.3015794; 5.2673684; -0.3014107; -0.0000101; 0.0000001; -16.8581865; 0.0100857; -0.0003029; -0.0000049
0.3011626; 4.9659476; -0.3010143; -0.0000100; 0.0000001; -16.8484087; 0.0094519; -0.0003169; -0.0000050
0.3006930; 4.6649235; -0.3005645; -0.0000097; 0.0000001; -16.8392786; 0.0087894; -0.0003309; -0.0000052
0.3001708; 4.3643494; -0.3000615; -0.0000093; 0.0000001; -16.8308253; 0.0080979; -0.0003452; -0.0000051
0.2995961; 4.0642787; -0.2995052; -0.0000089; 0.0000001; -16.8230777; 0.0073780; -0.0003592; -0.0000058
0.2989691; 3.7647648; -0.2988956; -0.0000084; 0.0000003; -16.8160648; 0.0066282; -0.0003751; -0.0000038
0.2984822; 3.4658610; -0.2984247; -0.0000074; 0.0000025; -16.8098155; 0.0058571; -0.0003853; 0.0001267
0.2988551; 3.1674314; -0.2988050; -0.0000000; 0.0000023; -16.8042170; 0.0054735; -0.0000052; 0.0001237
0.3002569; 2.8686286; -0.3001996; 0.0000069; 0.0000033; -16.7986249; 0.0058617; 0.0003695; 0.0001234
0.3026932; 2.5684392; -0.3026114; 0.0000170; 0.0000044; -16.7922704; 0.0070273; 0.0007516; 0.0001071
0.3061746; 2.2658492; -0.3060436; 0.0000310; 0.0000084; -16.7843844; 0.0089536; 0.0010977; 0.0001352
0.3107162; 1.9598450; -0.3104944; 0.0000580; 0.0000043; -16.7741980; 0.0117258; 0.0015481; -0.0000181
0.3161224; 1.6494130; -0.3157635; 0.0000733; 0.0000406; -16.7609422; 0.0150245; 0.0015463; 0.0006511
0.3172704; 1.3337634; -0.3166264; 0.0001966; 0.0001769; -16.7437204; 0.0201423; 0.0035247; 0.0014993
0.3093838; 1.0175105; -0.3078152; 0.0006915; 0.0004272; -16.7185541; 0.0308978; 0.0076267; 0.0017269
0.2936223; 0.7108138; -0.2895246; 0.0017761; 0.0010205; -16.6783028; 0.0487032; 0.0115292; 0.0023887
0.2727378; 0.4240858; -0.2626319; 0.0041689; 0.0021158; -16.6156816; 0.0732703; 0.0161113; 0.0028940
0.2518944; 0.1677385; -0.2287146; 0.0089481; 0.0042124; -16.5234060; 0.1053189; 0.0210963; 0.0027997
0.2398368; -0.0478157; -0.1884207; 0.0195113; 0.0045544; -16.3941912; 0.1482316; 0.0266614; -0.0014592
0.2466603; -0.2121706; -0.1396692; 0.0351257; -0.0030239; -16.2207574; 0.2028923; 0.0235943; -0.0054010
0.2683174; -0.3197380; -0.0855288; 0.0309372; -0.0040687; -15.9996717; 0.2548536; 0.0087766; -0.0022153
0.2934165; -0.3783982; -0.0392497; 0.0224393; -0.0031588; -15.7382568; 0.2908794; 0.0025527; -0.0008752
